missionary_activity;Миссионерская деятельность;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
missionary_activity_desc;Иностранные миссионеры работают в нашей стране.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
exploiting_the_land;Эксплуатация Земли;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_exploiting_the_land;Эпоха князей является трудным и опасным временем, поэтому все правители обязаны сократить расходы и взять столько денег от своего населения, сколько они могут.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
province_small_immigration_boom;Местный иммиграционный бум;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_small_immigration_boom;Из-за благоприятных социально-экономических условий в этой провинции наблюдается иммиграционный бум.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
disunited_country;Разобщенная страна;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
disunited_country_desc;Неподконтрольные военачальники, регионализм и преступники угрожают разорвать нашу страну на части. Значительная часть нашей рабочей силы и усилий правительства направлена исключительно на то, чтобы не дать нашей стране развалиться. Наш правитель часто ведет кампанию против мятежных полевых командиров.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
tewodros_reforms;Касса Хайлю;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
tewodros_reforms_desc;Хотя наш нынешний правитель Касса Хайлю может быть одним из лучших стратегов в новейшей истории, он также был шифтой, преступником, и это понижает нашу нацию в глазах других.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
colonial_museum_of_natural_history;Музей Естествознания;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
colonial_museum_of_natural_history_desc;В нашей стране создан Музей естествознания.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
plantation;Плантации и шахты;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
serial_killer;Серийный убийца на свободе;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_serial_killer;Дегенерат совершает безумные и ужасные убийства в этом районе. Кто будет следующим?;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;
silver_age;Серебряный век;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
silver_age_desc;Наш превосходный лидер проведет нас через трудные времена к лучшему будущему.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
pancasila;Панча Сила;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
pancasila_desc;Индонезия должна объединиться! Под общим руководством нас ничто не остановит.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
bazaari_strike;Базаарская забастовка;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
bazaari_strike_desc;Наши торговые элиты прекратили все виды деятельности. Экономика принимает тяжелый удар.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
exemplary_troops;Образцовые войска;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
exemplary_troops_desc;Наши элитные войска своими подвигами вдохновляют наших рядовых, давая им моральный дух, необходимый для зарядки пулемета.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
submarine_warfare;Подводная война;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
submarine_warfare_desc;Мы ведем в военно-морских технологиях и внушаем страх в сердца наших врагов!;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
rancho;Ранчо-Калифорния;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
rancho_desc;Наши щедрые пожертвования и земельные гранты позволяют быстро заселить район, что ведет к уникальному образу жизни.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
reading;Чтение;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
reading_desc;Большое литературное произведение вдохновило людей на чтение. Массы могут стать образованными ... Ужас!;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
hague_convention;Ратифицированная Гаагская конвенция;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
hague_convention_desc;Мы подписали Гаагскую конвенцию, чтобы продвигать эпоху мира и стабильности.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
camillo_cavour;Камилло Кавур;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
camillo_cavour_desc;Наш превосходный министр ведет нашу страну правильным путем. Современность теперь у нашего порога. Ура!;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
small_baby_boom;Бэби-бум;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
dust_bowl;Пыльник;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
emigrant_aid_company;Эмиграционная компания помощи;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
bleeding_state;Кровоточащее государство;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
free_staters_national;Миграционный запрет;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
free_staters_national_desc;Нескольким поселенцам было запрещено переселяться в другие штаты, что вызвало общественное волнение.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
copperhead_democrats_national;Медные демократы;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
copperhead_democrats_national_desc;Демократические аболиционисты и южные группы, выступающие за рабство, обсуждают будущее рабства в нашей стране.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
underground_railroad_shutdown;Закрытие подземной железной дороги;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
underground_railroad_shutdown_desc;Несколько подземных железных дорог в нашей стране были закрыты, и этот акт свеж в памяти американского народа.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fugitive_slave;Раб-беглец;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fugitive_slave_desc;Недавнее решение относительно беглого раба все еще свежо в памяти наших людей.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
abolitionist_pamphlets;Брошюры аболиционистов;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
slave_market;Рынок рабов;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
drinking_gourd;Пьющая тыква;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fire_eaters;Пожиратели огня;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
yankee_doodle;Янки-дудл;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
wish_I_was_dixie;Идентичность Дикси;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
southern_manorialism;Южный Манориализм;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
southern_pride;Южная Гордость;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
desc_southern_pride;Дикси - гордый народ, гордый своей землей и гордящийся красотой своих женщин.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
enclosures;Ограждения;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
desc_enclosures;Юридический процесс включения нескольких небольших земельных участков для создания одной более крупной фермы. После того, как закрытое, использование земли стало ограниченным для владельца, и это перестало быть общей землей для коммунального использования.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
haussmanns_renovations;Османизация Парижа ;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
desc_haussmanns_renovations;Реконструкция Османа, задуманная Жоржем-Юджином Османом, включала в себя разрушение многолюдных и нездоровых средневековых кварталов, строительство широких проспектов, парков и площадей, аннексию пригородов, окружающих Париж, и строительство новых канализационных коллекторов, фонтанов и акведуков.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
foreign_claims;Иностранные претензии;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
foreign_claims_desc;Другая нация выдвинула претензию на эту провинцию. Претензию, которую они скоро потеряют.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
IS_IN_DEFAULT_TO;Объявили им банкротство;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
IS_NOT_IN_DEFAULT_TO;Не объявляли им банкротство;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
warship_commissioned;Доставлен военный корабль;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
warship_commissioned_desc;Строительство, доставка или получение нового иностранного военного корабля - сложная задача. Моряки должны быть обучены, офицеры проинструктированы и бюрократические формальности должны быть улажены. Из-за этого нам потребуется некоторое время, чтобы снова быть в состоянии участвовать в подобных вещах.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ironclad_commision;Железные комиссии;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
sino_portuguese_treaty_of_peking_signataire;Подписанный Пекинский договор;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
local_distribution_channels_und_electricity;Торговые сети и электроосвещение;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
desc_local_distribution_channels_und_electricity;В этой провинции были введены новые и эффективные способы продажи и перепродажи товаров, что позволило фермерам свободно обрабатывать свои поля, а на улицах этой провинции было установлено электрическое освещение, что повысило эффективность всего местного производства, так как рабочие работают в новых и хорошо освещенных окрестностях.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
freedom_of_religion;Свобода вероисповедания;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
freedom_of_religion_desc;Никто не принужден следовать какой-либо религии в нашей стране, религиозные меньшинства имеют защищенный статус.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
repatriation;Репатриация;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
desc_repatriation;Лагеря беженцев, обмен населением, массовые высылки. Какова бы ни была причина, у нас много людей для репатриации, и поэтому мы даем им больше места.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
gaslights;Газовые фонари;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
gaslights_desc;Введение газовых светильников означало, что заранее определенные области, такие как маленькие комнаты или большие производственные цеха, могли быть освещены. Это означало, что люди больше не были ограничены восходом и заходом солнца.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
local_nitroglycerin_and_machine_tools;Механизированная добыча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
desc_local_nitroglycerin_and_machine_tools;Процесс добычи в этой провинции осуществляется с использованием новых и механизированных инструментов, а также новых взрывчатых веществ, что повышает эффективность местных операций по добыче и размер мин.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
modern_sail_ships;Современные Парусные Корабли;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
modern_sail_ships_desc;Современные технологии строительства, оснащения и комплектации парусных судов позволяют создавать более эффективные и мощные суда.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
population_exchange_with_turkey;Обмен населением с Турцией;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
albania_exchange;Албанский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
bosnia_exchange;Боснийский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
montenegro_exchange;Черногорский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
southern_serbia_exchange;Южносербский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
macedonia_exchange;Северомакедонский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
dobrudja_exchange;Добруджанский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
bulgaria_exchange;Болгарский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
eastern_rumelia_exchange;Восточнорумелийский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
thessalia_exchange;Фессалийский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
southern_macedonia_exchange;Южномакедонский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
eastern_macedonia_exchange;Восточномакедонский обмен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Crime;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine_politics;Политическая машина;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
desc_machine_politics;Политические машины - это партийная организация, возглавляемая одним боссом или небольшой автократической группой, которая располагает достаточным количеством голосов, чтобы поддерживать политический и административный контроль над городом, округом или государством. По сути, это подкуп в основном меньшинств политиками, использующими свое влияние. Распространено использование назначения на государственные должности как средство подкупа в рамках этой системы.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
spoil_system;Система добычи;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
desc_spoil_system;Система добычи (также известная как система покровительства) - это практика, при которой политическая партия после победы на выборах дает правительственным сторонникам, друзьям и родственникам рабочие места в качестве вознаграждения за стремление к победе и как стимул продолжать работать на партию - в отличие от системы заслуг, где должности назначаются на основе заслуг, независимо от политической деятельности.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
instigators;Политические зачинщики;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
desc_instigators;Если учреждения по борьбе с преступностью в провинции будут перегружены, зачинщики выйдут из себя и в конечном итоге соберут достаточное внимание и поддержку, чтобы оказать воздействие в установленном порядке.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
kleptocrats;Клептократы;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
desc_kleptocrats;Клептократия - это термин, применяемый к правительству, в котором правящий класс использует коррупцию для расширения своего личного богатства и политической власти. Обычно эта система предполагает растрату государственных средств за счет широкого населения. Отсутствие достаточных контрольных институтов в стране, где внешний контроль невозможен или отсутствует, может означать, что бюрократы станут клептократами.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
# General Modifiers;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
international_zone_modifier;Международная зона;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
international_zone_modifier_desc;Наша страна была объявлена международной зоной - центром торговли и коммерции, нейтральной зоной для встреч иностранных участников.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
international_zone;Международная зона;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_training;Неэффективное обучение за рубежом;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_training_desc;Возможно, мы сможем использовать эту военную реформу, но наше презрение к западным технологиям мешает нам в полной мере использовать наш опыт в этой области для подпитки наших исследований.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_schools;Неэффективные военно-морские школы;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_schools_desc;Возможно, мы сможем использовать эту военную реформу, но наше презрение к западным технологиям мешает нам в полной мере использовать наш опыт в этой области для подпитки наших исследований.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_officers;Неэффективные иностранные офицеры;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_officers_desc;Возможно, мы сможем использовать эту военную реформу, но наше презрение к западным технологиям мешает нам в полной мере использовать наш опыт в этой области для подпитки наших исследований.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_officers;Неэффективные морские офицеры;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_officers_desc;Возможно, мы сможем использовать эту военную реформу, но наше презрение к западным технологиям мешает нам в полной мере использовать наш опыт в этой области для подпитки наших исследований.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
naval_school;Военно-морские школы;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
desc_naval_school;Торговый флот управляет военно-морской школой в одной из наших провинций, предоставляя уроки лидерства и обучения новейшим военно-морским технологиям.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
historical_congo;Историческое Конго;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
neuchatel_crisis_escalated;Нёвшательский кризис;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
preparations_for_war;Подготовка к войне;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
preparations_for_war_desc;Приближается война, или так говорят…;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_company;Компания Конго;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_company_desc;Компания была создана для изучения природных ресурсов Конго. А еще, чтобы его богатство и местные жители приносили нам пользу.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_exploitation;Конголезская эксплуатация;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_exploitation_desc;Все чернокожие видели в этом человеке дьявола экватора ... Из всех тел, убитых в поле, вам пришлось отрезать руки. Он хотел видеть количество рук, отрезанных каждым солдатом ... Деревня, которая отказывалась предоставить резину, уничтожалась. В молодости я видел солдата [Файвеса] Молили, который тогда охранял деревню Боека, как тот взял сеть, поместил в нее десять арестованных туземцев, прикрепил к сети большие камни и бросил в реку ... Резина причиняет такие мучения... Вот почему мы больше не хотим слышать его имени. Солдаты заставляли молодых людей убивать и насиловать своих матерей и сестер.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
philantropic_work;Филантропическая Работа;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
philantropic_work_desc;Мы помогаем местным жителям и направляем эту нацию к цивилизации.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
refused_gp_deliberation;Бросил вызов Великим державам;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
refused_gp_deliberation_desc;Мы бросили вызов обсуждению Великих держав. Теперь они угрожают нам войной для обеспечения выполнения принятых решений, но если мы сможем продержаться достаточно долго, они могут быть вынуждены признать, что мы правы.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
mandate_of_heaven;Небесный мандат;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
mandate_of_heaven_desc;По Божественному праву Император является правителем всего Поднебесного царства.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
the_congo_reform_association;Общество по проведению реформ в Конго;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
the_congo_reform_association_desc;Международная гуманитарная организация проливает свет на нашу колониальную политику в Конго.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
indian_territory;Индейская территория;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indian_territory_desc;Индейская территория - это территория, отведенная правительством Соединенных Штатов для переселения коренных народов Северной и Южной Америки, которые имели право коренных народов на свою землю.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reconstruction;Политика реконструкции;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reconstruction_desc;После Гражданской войны нашу порванную нацию нужно восстанавливать. Десятипроцентный план  предусматривает, что каждый сепаратистский штат должен был пересмотреть свою конституцию и мог вновь войти в Союз только после того, как 10 процентов его имеющих право голоса избирателей дадут клятву верности Соединенным Штатам. Только так США могут оправиться от последствий этой разрушительной войны.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
cultural_resurgence;Культурное возрождение;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
cultural_resurgence_desc;Эта провинция переживает полное возрождение старой культуры.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
chinese_treaty_port;Китайские договорные порты;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
chinese_treaty_port_desc;Мы договорились с китайцами о договоре и приобрели права на китайский порт и город.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_unequal_treaty;Неравный договор;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_unequal_treaty_desc;Мы проиграли войну и европейцы словно стервятники бросились на нас, навязывая свои условия, включая открытие нашей страны, денежные репарации и даже отделение территорий.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_treaty;Переговоры о Договоре;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_treaty_desc;Наши дипломаты ведут переговоры о заключении мирного договора с побежденной нацией.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
lacks_writing_system;Не хватает системы письма;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
lacks_writing_system_desc;В нашем обществе нет системы письма. Без письма организационные структуры правительства всегда будут упрощенными.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
penal_colony;Исправительная колония;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
penal_colony_desc;Эта провинция является домом для значительной исправительной колонии. Большинство бедных слоев населения являются осужденными или бывшими осужденными, что ведет к повсеместной бедности.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
divided_society;Разделенное общество;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
divided_society_desc;Наше общество глубоко разделено по расовым вопросам. Вокруг недоверие и негодование, и из-за этого интеграция серьезно пострадала.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
caudillo_leaders;Каудильо;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
caudillo_leaders_desc;Каудильо - это тип лидера ополчения с харизматичной личностью и достаточным количеством популистской программы общих реформ, чтобы завоевать широкую симпатию среди простых людей. Эффективный каудилизм зависит от культа личности. Поскольку каудильо, как правило, удерживали власть, которая не имела конкурентной структуры, некоторые каудильо заняли антиклерикальную позицию. Многие из каудильо использовали свою власть для продвижения своих собственных богатств и интересов.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
corrupt_army;Коррумпированные чиновники;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
corrupt_army_desc;После одного поражения один из наших генералов обвинил неудачу в вражеской магии, что вызвало гневный ответ правителя. Очевидно, что организация и материально-техническое обеспечение нашей армии недостаточно, подготовка офицеров недостаточна, коррупция широко распространена.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
fanatic_army;Фанатичная преданность;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
fanatic_army_desc;Отмеченная высоким уровнем дисциплины и фанатизма, наша армия набирает людей со всей нашей страны для борьбы за наше дело. Эти призывники твердо верят в нашу миссию и обладают неизменной преданностью нам.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
irish_poverty;Ирландская бедность;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
animists_run;Эмиграция язычников;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
hormuz_strait;Ормузский пролив;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_french_foreign_legion;Иностранный легион;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
the_hedeselskab;Общество Чести;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
the_hedeselskab_desc;Основание датской мавританской компании привело к осушению и благоустройству обширных территорий.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
emigration_boom;Эмиграционный бум;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
emigration_boom_desc;Изменение условий жизни в нашей стране стимулирует массовое переселение наших людей.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
gold_rush_country;Золотая лихорадка;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
gold_rush_country_desc;Наша страна переживает золотую лихорадку, побуждающую людей со всего старого мира устремляться в нашу страну.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
global_baby_boom;Бэби-бум;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
