MAPMODE_11;Добыча ресурсов;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_12;Плотность населения;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_13;Культуры;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_14;Сферы влияния;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_15;Лимит снабжения;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_16;Верность партии;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_17;Рейтинг стран;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_18;Миграции;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_20;Отношения;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_21;Кризисы;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_22;Флотилии;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PV_POP_NATIONALITY;Культура;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPV_SORT_BY_RR;Фракция повстанцев;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NATIONALITY_DISTTITLE;Культура;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TERM_FOR_LIFE;Форма правления не допускает выборов;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_LESS_BADBOY_THAN;Иметь меньше бесчестья, чем;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_AT_LEAST_ONE_OWNED_NEIGHBORING_PROVINCE;Иметь хотя бы одну соседствующую провинцию, которая:;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DONT_HAVE_THE_PROVINCE_MODIFIER;НЕ иметь статус провинции:  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_NO_NATIONAL_MINORITY;Имеет меньшинства;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_NOT_NATIONAL_MINORITY;Имеет меньшинства;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_NATIONAL_MINORITY;Имеет меньшинства;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
beifaren;Северные ханьцы;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nanfaren;Южные ханьцы;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_1;Устаревший поршневой паровой двигатель;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_1_desc;Устаревание - это состояние, которое возникает, когда объект, услуга или услуга больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Оказывается, поршневые паровые двигатели устарели и потеряли некоторые из своих преимуществ.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_2;Устаревший паровой двигатель высокого давления;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_2_desc;Устаревание - это состояние, которое возникает, когда объект, услуга или услуга больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Оказывается, паровые двигатели высокого давления устарели и потеряли некоторые из своих преимуществ.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_3;Устаревший составной паровой двигатель;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_3_desc;Устаревание - это состояние, которое возникает, когда объект, услуга или услуга больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Оказывается, составные паровые двигатели устарели и потеряли некоторые из своих преимуществ.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_4;Устаревшие паровые турбины;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_4_desc;Устаревание - это состояние, которое возникает, когда объект, услуга или услуга больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Оказывается, паровые турбины устарели и потеряли некоторые из своих преимуществ.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_subsidies_l;Расширенные субсидии;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONEY_IS_ATLEAST_TRIGGER;В казне хотя бы §Y$VALUE$§W¤.\n;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFFECT_BUILD_IN_CAPITAL_DESC;§Y$BLD$§! строительство начнется в: §Y$PROVS$§!\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_PRESTIGE;Если военная цель будет достигнута, мы получим $COST$ §Yпрестижа§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_MILITANCY;Если военная цель не будет достигнута, мы получим $MILITANCY$ §Yагрессивности§W;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_EFFECT;Когда мы добавим эту военную цель, мы получим:;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_SUCCESS;Если военная цель будет достигнута, мы получим:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_FAILURE;Если военная цель не будет достигнута, мы получим:;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUY_FROM_STOCKPILE_DESC;Разрешить жителям/фабрикам покупать из гос. запасов страны.\N\n§YВАЖНО: §RНИКОГДА§Wне используйте эту кнопку, пока вы покупаете или продаете что-то вручную. Используйте эту опцию §RТОЛЬКО§W с автоматической торговлей §GДЛЯ§W §RВСЕХ§W товаров.§W §RНесоблюдение этого требования приведет к краху экономики как на местном, так и на глобальном уровне. Используйте это на свой страх и риск.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_political_decision_making;Принятие военно-политических решений;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_military_political_decision_making;Принятие военно-политических решений;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_military_political_decision_making_desc;В военное время армия становится все более влиятельной и может захватить полный контроль не только над руководством непосредственно военными действиями, но и над экономикой страны. Такую ситуацию можно охарактеризовать как военную диктатуру, осуществляемую генеральным штабом.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COALITION_WIN;Коалиция §Y$IDE$§W получила $VAL$% мест and и сформирует правительство.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RULE_PRIMARY_CULTURE_VOTING;\nГолосуют представители основной культуры;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RULE_CULTURE_VOTING;\nГолосуют представители государственных культур;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RULE_ALL_VOTING;\nГолосуют представители всех культур;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lacking_writing_system;Нет системы письма;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
clay_and_douglas_draft_enacted;Компромисс Клея и Дугласа подписан;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wilmot_proviso_providing;Оговорка Уилмота подписана;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
timber;Дерево;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
timber_RGO_SIZE;Запасы дерева;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aeroplane_factory_desc;Большинство самолетов того времени построены из дерева, с использованием металлических разъемов для соединения элементов и использования проволоки для фортепиано или многожильного стального троса для крепления. Деревянное строительство обычно включало несколько различных типов древесины, с осторожным использованием различных пород дерева в соответствии с их механическими свойствами, и они, как правило, были покрыты различными тканями, включая прорезиненный хлопок и лакированный шелк. Первой конструкцией двигателя, которая широко использовалась для питания самолетов, был двигатель V8 Antoinette с водяным охлаждением. Он считается самым первым восьмицилиндровым двигателем внутреннего сгорания V-образной формы, когда-либо запущенным в производство.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
barrel_factory_desc;Танк является XX-вековым воплощением древней концепции: обеспечения войск мобильной защитой и огневой мощью. Он был изобретен в связи с необходимостью сломить господство траншей, колючей проволоки и пулеметов над полями сражений. Двигатель внутреннего сгорания, броневая плита и непрерывная гусеница были ключевыми инновациями, приведшими к изобретению современного танка. Одним из самых ранних использовавшихся конструкций был ромбовидный автомобиль с низким центром тяжести и большой длиной гусеницы, способный преодолевать неровности и поперечные траншеи, в то время как основное вооружение перевозилось в спонсонах по бокам корпуса.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
automobile_factory_desc;"Ранние автомобили, известные как «Конные экипажи», были простыми автомобилями с двух- или четырехтактными двигателями внутреннего сгорания, способными развивать мощность 2/3 лошадиных сил (0,50 кВт) при 250 об / мин. Они имели: открытый картер двигателя, в котором использовался толкательный клапан с приводом; большой горизонтальный маховик, который стабилизировал выходную мощность одноцилиндрового двигателя; и испарительный карбюратор, управляемый с помощью втулочного клапана, для регулирования мощности и частоты вращения двигателя. Они производились в небольших цехах, но развивались быстро: простая металлическая рама вскоре сменилась шасси со стеклянными окнами.";;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
telephone_factory_desc;В самых ранних телефонах был только один провод для передачи и приема звука, но дизайн был быстро заменен на телефон с подсвечником. Последний имел основание с вертикальной цилиндрической шеей, простирающейся вертикально до 10 дюймов в длину. В верхней части подставки был установлен карбоновый микрофон (передатчик), через который можно было разговаривать, и тянущийся вбок выключатель, на котором висел наушник (приемник). Чтобы позвонить или ответить на телефонный звонок, пользователь снимал трубку с выключателя, тем самым активировав внутренний выключатель, соединяющий телефон с телефонной линией.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
electric_gear_factory_desc;Эпоха электричества началась в 1882 году, когда Томас Эдисон представил систему электрического освещения в Нью-Йорке. Электрическое освещение быстро распространилось по всей территории Соединенных Штатов и вскоре было перенесено в Европу. Возникла индустрия электрических компонентов, производящая различные электрические компоненты для автомобилей, телефонов, граммофонов и промышленного оборудования в целом по мере развития электрификационной отрасли. Электрооборудование необходимо для самых разных вещей, в том числе для автомобилей, телефонов, радиоприемников и самолетов.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine_parts_factory_desc;Промышленная революция получила дальнейшее развитие благодаря популяризации железных дорог. Для машиностроения это принесло много новых рабочих мест, связанных с новым оборудованием для металлургии, станками для металлообработки и производством паровых двигателей для поездов. Кроме того, новые машиностроительные заводы начали производить машины для производственных машин, таких как текстильные машины, компрессоры, сельскохозяйственные машины и двигатели для судов. Со временем рынок машиностроения стал шире, были изготовлены специализированные продукты для более широкого национального и зачастую международного рынка.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fuel_refinery;Нефтеперерабатывающий завод;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fuel_refinery_desc;Нефтеперерабатывающий завод - это промышленная перерабатывающая установка, где сырая нефть перерабатывается в более полезные продукты, такие как нефтяная нафта, бензин, дизельное топливо, асфальтовая основа, мазут, керосин и сжиженный нефтяной газ. На НПЗ сырая нефть разделяется на фракции путем фракционной перегонки. Фракции в верхней части ректификационной колонны имеют более низкие точки кипения, чем фракции в нижней части. Фракции с тяжелым дном часто превращаются в более легкие и полезные продукты. Все фракции перерабатываются в других перерабатывающих установках.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
radio_factory_desc;AM-радио использует амплитудную модуляцию, при которой амплитуда передаваемого сигнала становится пропорциональной амплитуде звука, получаемой (передаваемой) микрофоном, тогда как передаваемая частота остается неизменной. Это может быть приемник TRF или супергетеродинный приемник, последний обычно использует 6 триодов: микшер, гетеродин, два ПЧ и два каскада усилителя звука, с ПЧ 45 кГц. Корпус радиоприемника может быть изготовлен из бакелита или дерева, а внутренняя часть обычно изготавливается из различных металлов и вакуумных трубок, из которых иногда можно изолировать резину.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
synthetic_oil_factory;Завод по сжижению угля;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
synthetic_oil_factory_desc;Основными методами прямого превращения угля в жидкости методом гидрирования является процесс Бергиуса. В этом процессе уголь тонко измельчается и высушивается в потоке горячего газа. Сухой продукт смешивают с тяжелой нефтью, возвращаемой из процесса, и в смесь обычно добавляют катализатор. Обычно сульфиды железа, присутствующие в угле, могут иметь достаточную каталитическую активность для процесса. Затем смесь закачивают в реактор, и реакция протекает при давлении водорода от 400 до 500 ° С и давлении от 20 до 70 МПа. В результате реакции образуются тяжелые масла, средние масла, бензин и газы.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steamer_shipyard_desc;Ключевым нововведением, которое сделало пароходы жизнеспособными, является переход с гребного колеса на гребной винт для тяги. Паровые двигатели рассчитаны на мощность, подводимую к днищу машины, для непосредственного привода на карданный вал, где он проходит через кормовую трубу. Поскольку движущая сила винтового движителя подается вдоль вала, для передачи этой нагрузки без чрезмерного трения необходим упорный подшипник.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
clipper_shipyard_desc;Клиперы - это быстрые суда с тремя мачтами и квадратной оснасткой. Как правило, они узкие по своей длине, могут перевозить ограниченные грузы и имеют большую общую площадь паруса. Оптимизированные по скорости, они слишком узкие, чтобы перевозить много груза. Клиперы обычно несут дополнительные паруса, такие как небоскребы, лунные мачты, шипованные паруса на боновых заграждениях, что требовало дополнительных рук для их работы.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luxury_clothes_factory_desc;Одеяние шилось из единственного куска тончайшего шелка, его уникальный цвет приобретался при многократном погружении в красители, оттенки которых напоминали лунный свет или водянистые отражения венецианских лагун. Изогнутый S-силуэт доминировал в моде женщин, корсет плотно обтягивал талию, отталкивая бедра назад. Мужчины носили обтягивающие сюртуки длиной до голени и жилет. Жилеты были однобортными или двубортными, с шалью или воротником с надрезом.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luxury_furniture_factory_desc;Темное или позолоченное резное дерево и ткани с богатым рисунком, замысловатые золотые орнаменты, подушки и ткани из шелка, тончайшая или самая экзотическая древесина в мире, используемая в мебели. Дизайнеры роскошной мебели используют и модифицируют многие стили, взятые из разных периодов истории, таких как готика, тюдор, елизаветинский, английский рококо, неоклассика и другие. Стиль возрождения в стиле готики и рококо является наиболее распространенным стилем, который можно увидеть в мебели в это время истории. Стили смешаны с введением ближневосточных и азиатских влияний в мебели, фурнитуре и внутренней отделке.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steel_factory;Сталелитейный завод;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steel_factory_desc;Сталь - это сплав железа и других элементов, прежде всего углерода, используемых в строительстве и других областях. Когда железо выплавляется из руды, оно содержит больше углерода, чем требуется. Чтобы стать сталью, ее необходимо переработать, чтобы уменьшить количество углерода до нужного уровня, после чего могут быть добавлены другие элементы. Сталелитейные заводы отливают железо в слитки, которые хранятся до дальнейшей обработки. Стальные слитки затем нагревают в яме для замачивания и подвергают горячей прокатке в слябы, цветы или заготовки. Они свернуты в листовой металл, пластины, прутки, стержни, проволоку и конструкционную сталь, такую как двутавровые балки и рельсы.;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
artillery_factory_desc;Первым этапом артиллерийского производства является создание точной модели орудия, миномета или гаубицы. Он построен на коническом деревянном шпинделе длиной от восьми до 12 футов и примерно на два дюйма меньше диаметра модели. Затем шпиндель устанавливают на деревянную поворотную раму и покрывают смазкой или мылом, чтобы облегчить его окончательное удаление из формы. Покрытие из смеси щелочи распределяется по внутренней поверхности, чтобы предотвратить прилипание расплавленного металла отливки к стенкам кристаллизатора. Затем пресс-форма доставляется в литейную яму для отжига.;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
small_arms_factory_desc;Основное вооружение военных, включающее стрелковое оружие, такое как мушкеты, нарезные мушкеты, пистолеты, револьверы и винтовки. Нарезные мушкеты, наиболее распространенное огнестрельное оружие в середине 19-го века, были изготовлены из железа, выкованы как единое целое, отожжены и обработаны до конфигурации резьбовой заглушки, выходящей из одной ножки L-образного запаха. Это было науглерожено для износостойкости, и закончено в древесине в запасе и бочках. Некоторые из них были нарезными, в то время как старых моделей мушкетов не было, и они обычно шли со штыком и шомполом.;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
furniture_factory_desc;Зажиточные люди живут в очень уютных домах, хотя их слуги жили в тесных кварталах, часто на чердаке. В 19 веке впервые в истории мебель была произведена серийно. Это  было дешевле, но, к сожалению, стандарты дизайна упали. В начале 19-го века квалифицированные рабочие обычно жили в «сквозных домах», то есть тех, которые не были присоединены к спинам других домов, в то время как население в целом часто проживало «спина к спине». Это были дома из трех (а иногда и только двух) комнат, одна сверху другой.;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper_mill_desc;Бумажная фабрика использует машину Fourdrinier для производства бумаги из растительных волокон, таких как древесная масса. Машина состоит из конвейерной ленты, сотканной из бронзы, в формующей секции, где суспензия волокна (обычно дерева или других растительных волокон) осушается для создания непрерывного бумажного полотна. После формующей секции влажное полотно проходит через горизонтальную область дренажа, называемую дренажным столом, создавая тем самым непрерывное производство бумаги. Бумага используется для книг, газет и других средств информации.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
regular_clothes_factory;Фабрика одежды;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
regular_clothes_factory_desc;Во время промышленной революции производство ткани было механизировано с помощью машин, приводимых в движение водяными колесами и паровыми двигателями. Производство перешло от мелкого производства в коттеджах к массовому производству на основе организации сборочных линий, благодаря швейной машине произошли революционные изменения в производстве одежды. Оригинальная машина была сделана из дерева и использует колючую иглу, которая проходит вниз через ткань, чтобы захватить нить и потянуть ее вверх, чтобы сформировать петлю, которая будет заблокирована следующей петлей.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
explosives_factory_desc;Завод по производству взрывчатых веществ производит различные компоненты для промышленного и военного использования, такие как нитроглицерин, динамит и черный порошок. В начале 19-го века черная сила была основным изготовленным компонентом, который использовался для добычи полезных ископаемых, разбивания камней, расчистки полей и строительства дорог. С изобретением динамита шахты можно было копать глубже и быстрее, и неэкономичные залежи, таким образом, становились прибыльными. И все же основное применение взрывчатых веществ было в военной промышленности: бомбы, порох, боеприпасы. Для пехоты, артиллерии или саперов использование взрывчатых веществ и пороха было центральным в армии.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ammunition_factory_desc;В 19-м веке для изготовления боеприпасов была предпочтительна обработка, а не литье. Штампованные пули - это пули, изготовленные путем штамповки металлов комнатной температуры в матрицу для придания ей формы пули. Другим распространенным способом изготовления является литье, при котором используются расплавленные металлы, заливаемые в форму. Недостатки стали очевидными, когда в конце 19-го века загрузки переместились на бездымный порошок, и производители высокоскоростных военных боеприпасов изменили процесс обжима пули, чтобы нанести тонкий слой более прочного металла на мягкую свинцовую пулю.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
canned_food_factory_desc;Концепция консервирования основана на экспериментальной работе по консервации пищевых продуктов в стеклянных контейнерах французского изобретателя Николаса Апперта. Изготовление большинства банок приводит к по меньшей мере одному «ободу», узкому кольцу, внешний диаметр которого немного больше, чем у остальной банки. Плоские поверхности банок с ободком утоплены от края любого обода (к середине банки) примерно на ширину обода: внутренний диаметр обода, прилегающий к этой утопленной поверхности, немного меньше внутреннего диаметра остальной части банки. Консервы в основном используются для военных рационов.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dye_factory;Синтетические красители;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dye_factory_desc;Натуральный краситель присутствует только в небольших количествах, и его извлечение часто неэффективно, поэтому они обычно дороги. В эксперименте с соединением, названным анилином, одним из самых простых химических компонентов каменноугольной смолы, один изобретатель обнаружил, что спирт выделяет пурпурный цвет, который легко окрашивается в шелк, и намного более стабилен на солнце, чем любой другой используемый фиолетовый краситель. В Synthetic Dyeworks красители смешивают, синтезируют в реакторе, фильтруют на примеси, высушивают и затем смешивают. Наряду со многими другими добавками, растворителями и химическими соединениями используются, чтобы вызвать реакции.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liquor;Напитки;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liquor_distillery;Разливочные работы;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liquor_distillery_desc;Самое раннее упоминание о газированном имбирном пиве в Практическом трактате по пивоварению. опубликовано в 1809 году. Питье природной или искусственной минеральной воды считалось в то время здоровой практикой, и пропагандистами умеренности способствовали. Фармацевты, продающие минеральные воды, начали добавлять травы и химикаты в неароматизированную минеральную воду. Они использовали кору березы, одуванчик, сарсапариль, экстракты фруктов и другие вещества. Ароматизаторы также были добавлены для улучшения вкуса.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
winery_desc;Процесс виноделия включает в себя ферментацию фруктов с натуральными дрожжами или без них, а также смешивание. После этого происходит молочно-молочное превращение, которое является бактериальным процессом, который превращает яблочную кислоту «хрустящее зеленое яблоко» в «мягкую, сливочную» молочную кислоту, смягчающую вкус вина. Вино иногда переносят в дубовые бочки для созревания в течение нескольких недель или месяцев. Вино должно быть решено или разъяснено, и корректировки сделаны до розлива в бутылки. Процесс производит сточные воды, выжимки и осадок, которые требуют сбора, очистки и утилизации или полезного использования.;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lumber_mill;Лесопильный завод;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
